code	en	et
3258	paramedic in emergency responses	kriisiolukorra erakorralise meditsiini tehnik
7115	door installer	uksepaigaldaja
7233	fluid power technician	hüdrauliliste ja pneumaatiliste seadmete mehaanik
2424	corporate trainer	koolitusspetsialist
2144	steam engineer	aurumasina mehaanik
2654	art administrator	kunstivaldkonna administraator
2310	medicine lecturer	meditsiiniõppejõud
4223	telephone switchboard operator	telefonivahendusjaama operaator
3256	doctors' surgery assistant	protseduuritoa assistent
7413	cable jointer	kaabliühendaja
3423	horse riding instructor	ratsutamisinstruktor
8322	car and van delivery driver	auto- ja kaubikujuht
2529	digital forensics expert	küberkuritegevuse uurimisekspert
2152	medical device engineer	meditsiinitehnika insener
1420	telecommunication equipment shop manager	sideseadmete kaupluse juhataja
1324	import export manager in agricultural machinery and equipment	põllumajandusmasinate ja -seadmete impordi ja ekspordi juht
2149	quantity surveyor	kuluarvestuse juht
4323	vessel operations coordinator	tankeriliikluse korraldaja
2633	historian	ajaloolane
2529	cyber incident responder	küberintsidentidele reageerija
1321	chemical production manager	kemikaalide tootmisjuht
2635	child care social worker	lastehoolekande spetsialist
1324	air traffic manager	lennuliiklusteenistuse juht
2330	ICT teacher secondary school	üldhariduskooli vanema astme IKT-õpetaja
8131	lime kiln operator	lubjapõletaja
6221	water-based aquaculture technician	vesiviljeluse tehnik
3111	meteorology technician	meteoroloogiatehnik
2113	chemist	keemik
5223	ammunition specialised seller	laskemoonamüüja
3521	sound operator	helioperaator
8157	laundry worker	pesulaotööline
3141	biotechnical technician	biotehnoloogia tehnik
8131	granulator machine operator	granuleerimismasina operaator
2656	audio describer	dubleerija
3123	construction general supervisor	ehituse üldtöödejuhataja
1221	chief marketing officer	turundusdirektor
3341	field survey manager	väliuuringu juht
7223	boring machine operator	puurimismasina operaator
2652	musical conductor	dirigent
3122	leather goods production supervisor	nahktoodete tootmise töödejuhataja
2149	renewable energy engineer	taastuvenergeetikainsener
3114	microelectronics engineering technician	mikroelektroonikatehnik
8343	tower crane operator	tornkraana juht
7231	refurbishing technician	mootorsõiduki remondimehaanik
2412	investment manager	investeerimisjuht
5244	call centre agent	telefonimüügi agent
6129	fur animals breeder	karusloomakasvataja
1111	secretary of state	riigisekretär
3435	intelligent lighting engineer	valgusinsener
2636	missionary	misjonär
3115	rolling stock engineering technician	veeremitehnik
3334	real estate manager	kinnisvarahaldur
3112	civil engineering technician	ehitustehnik
3411	court clerk	kohtujurist
2163	textile designer	tekstiilidisainer
2262	pharmaceutical quality specialist	ravimikvaliteedi spetsialist
7126	water conservation technician	veesäästuseadmete paigaldaja
7223	briquetting machine operator	metalliplokkide pressimismasina operaator
8141	sectional belt mould assembler	kiilrihmavormija
8160	candy machine operator	kompvekimasina operaator
3434	chef	peakokk
2131	pharmacologist	farmakoloog
2519	ICT disaster recovery analyst	IKT-avariitaaste analüütik
7313	filigree maker	filigraanimeister
2352	teacher of talented and gifted students	andekate ja võimekate õppurite õpetaja
2511	embedded system designer	manussüsteemide projekteerija
2519	software tester	tarkvara testija
8151	twisting machine operator	korrutusmasina operaator
1322	mine manager	kaevanduse juhataja
3113	battery manufacturing technician	akutootmistehnik
3254	optical technician	optikatehnik
2310	university teaching assistant	ülikooli õppeassistent
1219	quality services manager	kvaliteedijuht
5223	sporting accessories specialised seller	spordikaupade müüja
2352	learning support teacher	tugiõpetaja
2433	renewable energy consultant	taastuvenergia konsultant
3422	sports instructor	spordiinstruktor
2310	sociology lecturer	sotsioloogiaõppejõud
2166	gambling games designer	hasartmängude disainer
3115	production engineering technician	tootmistehnik
5113	environmental education officer	keskkonnahariduse spetsialist
2269	kinesiologist	kinesioloog
2113	cosmetic chemist	kosmeetikakeemik
2133	environmental scientist	keskkonnateadlane
2632	sociologist	sotsioloog
5120	industrial cook	tööstuskokk
7311	clock and watchmaker	kellassepp
3119	footwear product developer	jalatsitööstuse tootearendaja
1324	import export manager in machinery, industrial equipment, ships and aircraft	masinate, tööstusseadmete, laevade ja õhusõidukite impordi ja ekspordi juht
8160	blending plant operator	segamismasina operaator
8141	tyre vulcaniser	rehvide vulkaniseerija
7211	coquille casting worker	kärnivalmistaja
3512	ICT help desk manager	IKT kasutajatoe juht
5223	bookshop specialised seller	raamatukaupluse müüja
3131	hydroelectric plant operator	hüdroelektrijaama operaator
5419	crossing guard	ülekäiguraja reguleerija
7222	gunsmith	tulirelvameister
8312	rail switchperson	raudtee pöörmeseadja
2631	business economics researcher	ärijuhtimise teadur
1219	corporate social responsibility manager	ettevõtte sotsiaalse vastutuse valdkonna juht
3112	water systems engineering technician	veevarustussüsteemide tehnik
2431	employer branding manager	tööandja brändingu juht
2432	campaign canvasser	kampaania häältehankija
2432	online community manager	internetikogukonna haldur
5322	home care aide	koduhooldusteenuse pakkuja
3122	waste management supervisor	jäätmehalduse töödejuhataja
1324	textile industry machinery distribution manager	tekstiilitööstusmasinate turustusjuht
4225	customer service representative	kliendisuhete haldur
2652	music director	muusikajuht
5223	clothing specialised seller	rõivakaupluse müüja
1345	special educational needs head teacher	hariduslike erivajadustega õpilaste kooli direktor
3322	commercial sales representative	müügiesindaja
8212	semiconductor processor	pooljuhtide valmistaja
4321	footwear factory warehouse operator	jalatsivabriku laooperaator
1431	gambling manager	hasartmänguettevõtte juht
1223	product development manager	tootearendusjuht
7314	hand brick moulder	ehituskivide vormija
3252	medical records clerk	terviseandmete registreerija
6121	horse breeder	hobusekasvataja
7536	orthopaedic footwear technician	ortopeediliste jalatsite tehnik
8159	braiding machine operator	punumismasina operaator
7131	construction painter	ehitusmaaler
2521	data warehouse designer	andmeaitade projekteerija
7231	vehicle restoration technician	sõidukirestauraator
7421	smart home installer	aruka kodu tehnika paigaldaja
9121	linen room attendant	pesulaohoidja
3240	animal artificial insemination technician	loomade kunstliku viljastamise tehnik
7311	optical instrument assembler	optikaseadmete koostaja
5164	kennel worker	koerakasvanduse töötaja
3314	actuarial assistant	aktuaari assistent
2619	data protection officer	andmekaitseametnik
8131	pesticide mixer	taimekaitsevahendite segaja
2434	ICT presales engineer	IKT müügieelse nõustamise spetsialist
1221	motor vehicle aftersales manager	mootorsõidukite müügijärgsete teenuste juht
7223	plasma cutting machine operator	plasmalõikusmasina operaator
8156	cutting machine operator	lõikemasina operaator
3131	fossil-fuel power plant operator	fossiilkütuseelektrijaama operaator
3119	textile chemical quality technician	tekstiili keemilise kvaliteedi tehnik
3122	precision mechanics supervisor	täppismehaanika töödejuhataja
2144	welding engineer	keevitusinsener
8156	lasting machine operator	vormimismasina operaator
3259	anaesthetic technician	anestesist
8160	sauce production operator	kastmevalmistaja
2131	biophysicist	biofüüsik
3324	wholesale merchant in household goods	kodutarvete hulgikaupleja
1324	import export manager in hardware, plumbing and heating equipment and supplies	rauakaupade, veevarustus- ja kütteseadmete ning -tarvikute impordi ja ekspordi juht
8341	land-based machinery supervisor	põllumajandusmasinate töödejuhataja
2114	mine geologist	kaevanduse geoloog
8183	cigar brander	sigarite kaubamärgistuse operaator
7212	solderer	jootja
8212	dental instrument assembler	hambaraviseadmete koostaja
3152	officer of the watch	vahiohvitser
2320	hospitality vocational teacher	hotelliteeninduse eriala kutseõpetaja
5153	building caretaker	majahoidja
7532	wearing apparel patternmaker	rõivaste modelleerija
8219	ammunition assembler	laskemoonakoostaja
7223	engraving machine operator	graveerimismasina operaator
3111	radiation protection technician	kiirguskaitsetehnik
2120	gambling games developer	hasartmängude arendaja
2635	consultant social worker	sotsiaaltöö nõunik
4322	machinery assembly coordinator	seadmekooste koordinaator
2653	choreographer	koreograaf
7223	spark erosion machine operator	sädetöötlusmasina operaator
8152	knitting textile technician	silmuskudumistehnik
3123	tiling supervisor	plaatijate töödejuhataja
2413	mergers and acquisitions analyst	ühinemis- ja ostutehingute analüütik
8350	fisheries deckhand	kalalaeva madrus
2221	specialist nurse	eriõde
7119	construction scaffolder	ehitustellingute püstitaja
3123	paperhanger supervisor	tapetseerijate töödejuhataja
1112	ambassador	suursaadik
7532	digital prototyper	digitaalprototüüpide valmistaja
5142	masseur/masseuse	massöör
8131	pyrotechnics drying room attendant	pürotehnika kuivatusruumi töötaja
1420	domestic appliances shop manager	kodumasinate kaupluse juhataja
7312	harpsichord maker	klavessiinimeister
7215	high rigger	kõrgkonstruktsioonide trossipaigaldaja
2632	media scientist	ajakirjandusteadlane
2635	education welfare officer	haridusvaldkonna sotsiaaltöötaja
2643	translator	tõlkija
3119	offshore renewable energy technician	avamere taastuvenergia tehnik
7213	container equipment assembler	konteinerseadmete koostaja
2422	social service consultant	sotsiaalteenuste nõustaja
8211	mechatronics assembler	mehhatroonikaseadmete koostaja
2654	video and motion picture director	video- ja kinofilmide režissöör
3312	credit adviser	krediidinõustaja
9112	toilet attendant	tualetiteenindaja
7311	watch and clock repairer	kellaparandaja
9214	horticulture worker	aiandustööline
3435	stage manager	inspitsient
7512	baker	pagar
3132	water treatment systems operator	veepuhastussüsteemi operaator
2330	science teacher secondary school	üldhariduskooli vanema astme reaalainete õpetaja
2411	financial auditor	finantsaudiitor
4229	hotel concierge	hotelli vastuvõtutöötaja
2113	chemical application specialist	rakenduskeemia spetsialist
3332	event manager	ürituste projektijuht
1420	medical goods shop manager	meditsiinikaupade kaupluse juhataja
3257	transport health and safety inspector	transpordivaldkonna tervisekaitse ja ohutuse inspektor
3132	liquid waste treatment plant operator	vedeljäätmete käitlusjaama operaator
8156	footwear production machine operator	jalatsitootmise operaator
6114	crop production manager	põllukultuuride tootmisjuht
8154	finishing textile technician	tekstiiliviimistleja
8341	land-based machinery operator	põllumajandusmasinate operaator
2166	illustrator	illustraator
8332	fire service vehicle operator	tuletõrjeauto juht
3435	stand-in	dublant
2310	nursing lecturer	õenduse õppejõud
8342	snow-clearing worker	lumekoristusmasina juht
2142	geological engineer	geoloogiainsener
6130	mixed farmer	segatootmisega tegelev põllumajandustootja
7543	electrical equipment inspector	elektriseadmete inspektor
2144	equipment engineer	seadmete insener
2511	computer vision engineer	raalnägemise tehnoloogia insener
2529	embedded systems security engineer	manussüsteemide turvatehnika insener
8122	tumbling machine operator	puhastustrumli operaator
1213	EU funds manager	ELi vahendite haldaja
2112	meteorologist	meteoroloog
1431	zoo curator	loomaaia kuraator
3118	aerospace engineering drafter	aeronautikajoonestaja
5411	industrial firefighter	tööstusobjektide tuletõrjuja
7535	tanner	parkal
7536	leather goods hand cutting operator	nahktoodete käsitsilõikaja
7421	marine electronics technician	laevaelektroonika mehaanik
2652	disc jockey	DJ
3343	fundraising assistant	sponsorvahendite assistent
7319	sports equipment repair technician	sporditarvete hooldustehnik
2263	ergonomist	ergonoom
7223	grinding machine operator	lihvmasina operaator
2163	automotive designer	autokonstruktor
3339	publishing rights manager	kirjastamisõiguste haldur
1221	online sales channel manager	veebimüügi juht
0210	special forces officer	erivägede allohvitser
8343	production plant crane operator	tööstuskraana juht
3118	electromechanical drafter	elektromehaanikajoonestaja
2413	insurance rating analyst	kindlustusmaksete analüütik
7223	water jet cutter operator	vesijugalõikusmasina operaator
8160	brew house operator	pruulikoja operaator
3123	power lines supervisor	elektriliinide paigaldustööde juhataja
8332	aircraft fuel system operator	lennukitankija
2355	dance teacher	harrastustantsu õpetaja
5164	animal handler	looma händler
1324	import export manager in flowers and plants	lillede ja taimede impordi ja ekspordi juht
5312	special educational needs assistant	hariduslike erivajadustega õpilaste abiõpetaja
3412	volunteer mentor	vabatahtlike mentor
9629	locker room attendant	pakihoiutöötaja
8343	mobile crane operator	liikurkraana juht
3311	energy trader	energiakaupleja
9129	sewerage cleaner	kanalisatsioonipuhastaja
3412	foster care support worker	kasupere tugiisik
4312	auditing clerk	revisjoni läbiviija
3142	agricultural technician	põllumajandustehnik
1321	leather goods quality manager	nahktoodete kvaliteedijuht
2149	component engineer	komponentide projekteerimise insener
2144	heating, ventilation, air conditioning engineer	kütte-, ventilatsiooni- ja kliimasüsteemide insener
1112	diplomat	diplomaat
6112	vineyard machinery operator	viinamarjaistanduse masinaoperaator
2423	compensation analyst	tasuanalüütik
3152	maritime pilot	loots
2149	energy systems engineer	energiasüsteemide insener
2151	electromagnetic engineer	elektromagnetiliste süsteemide insener
3122	vessel assembly supervisor	laevakooste töödejuhataja
2632	archaeologist	arheoloog
3339	relocation officer	asutuste ümberkolimise korraldaja
7541	harvest diver	merevara koguja-sukelduja
2359	assessor of prior learning	varasema õppe hindaja
2511	data engineer	andmeinsener
9216	on foot aquatic resources collector	rannikult kogutavate vesiviljelustoodete korjaja
2421	business intelligence manager	äriteabe juht
8156	automated cutting machine operator	automaatlõikemasina operaator
2423	labour relations officer	töösuhete ametnik
3123	concrete finisher supervisor	viimistlustööde juhataja
1349	sport administrator	spordijuht
6112	vineyard supervisor	viinamarjaistanduse töödejuhataja
7125	vehicle glazier	sõidukiklaasija
3114	microelectronics maintenance technician	mikroelektroonika hooldustehnik
5152	bed and breakfast operator	kodumajutusteenuse pakkuja
3134	oil refinery control room operator	rafineerimistehase juhtimissüsteemi operaator
8172	veneer slicer operator	spoonihöövelduspingi operaator
2421	manufacturing cost estimator	tootmise kuluarvestuse spetsialist
8312	train preparer	raudteeveeremi mehaanik
8155	colour sampling operator	värvitoonimise operaator
8131	gauger	naftakontrollija
3339	promoter	programmi projektijuht
2431	promotion assistant	müügireklaami assistent
7544	pest management worker	kahjuritõrjuja
2412	financial planner	finantsplaneerija
2359	public speaking coach	avaliku esinemise koolitaja
9312	waterway construction labourer	vesirajatiste tööline
8154	textile dyeing technician	värvimismasina operaator
8219	metal furniture machine operator	metallmööbli valmistaja
3435	media integration operator	meedia integreerimise operaator
2659	circus artist	tsirkuseartist
7543	electronic equipment inspector	elektroonikaseadmete inspektor
2511	green ICT consultant	rohelise IKT valdkonna nõustaja
4131	typist	masinakirjutaja
7223	moulding machine operator	metalli vormimismasina operaator
3315	foreclosure specialist	täitemenetluse ekspert
3423	activity leader	rekreatsioonikorraldaja
3133	air separation plant operator	õhu separeerimisseadmete operaator
8131	lacquer maker	sünteetilise laki valmistaja
3521	sound mastering engineer	helisalvestusoperaator
3121	mine shift manager	kaevanduse vahetuseülem
3112	energy conservation officer	energiasäästu insener
1324	flowers and plants distribution manager	lillede ja taimede turustusjuht
9112	furniture cleaner	mööblihooldaja
7321	imagesetter	pildiladuja
2643	interpreter	tõlk
7233	greaser	masinamäärija
7233	rotating equipment mechanic	pöördseadmete mehaanik
2359	educational counsellor	õpilasnõustaja
2512	blockchain developer	plokiahela arendaja
2152	satellite engineer	satelliitside insener
8141	tyre builder	rehvide valmistaja
1324	computers, computer peripheral equipment and software distribution manager	arvutite, arvutite välisseadmete ja tarkvara turustusjuht
6223	deep-sea fishery worker	avamerekalur
2412	corporate investment banker	korporatiivpanganduse investeerimisnõustaja
9329	factory hand	tööstuse lihttööline
2144	rotating equipment engineer	pöördseadmete insener
2619	election observer	valimisvaatleja
7115	staircase installer	trepipaigaldaja
8332	refuse vehicle driver	prügiauto juht
8219	medical device assembler	meditsiiniseadmete koostaja
1324	pharmaceutical goods distribution manager	farmaatsiatoodete turustusjuht
7231	diesel engine mechanic	diiselmootorite mehaanik
1349	library manager	raamatukogu juhataja
7536	leather goods manual operator	nahktoodete käsitsivalmistaja
3240	veterinary nurse	veterinaarõde
3119	photonics engineering technician	footontehnoloogia tehnik
3118	electrical drafter	elektriseadmete ja süsteemide joonestaja
8121	casting machine operator	valumasina operaator
7543	printed circuit board test technician	trükkplaatide tehnik-testija
2165	cadastral technician	katastrimõõdistaja
2131	physiologist	füsioloog
2511	data scientist	andmeteadur
5165	motorcycle instructor	mootorratta juhi õpetaja
8131	anaerobic digestion plant operator	anaeroobsel kääritamisel töötava jaama operaator
8142	fiberglass laminator	lamineerija
9629	cloak room attendant	riidehoiutöötaja
4323	ship planner	laevade lastimisspetsialist
5113	park guide	pargigiid
2655	actor/actress	näitleja/näitlejanna
1321	leather wet processing department manager	naha märgtöötlusosakonna juht
0110	navy officer	mereväeohvitser
7231	vehicle maintenance supervisor	mootorsõidukite hoolduse töödejuhataja
4212	bookmaker	kihlvedude vahendaja
5164	dog trainer	koeratreener
7512	pasta maker	pastatoodete valmistaja
5223	confectionery specialised seller	maiustuste müüja
7233	industrial machinery mechanic	tööstusmasinate mehaanik
7215	boat rigger	laevasisustaja
2642	fact checker	faktikontrollija
2642	newspaper editor	ajalehe toimetaja
3114	microsystem engineering technician	mikrosüsteemide tehnik
6222	fisheries boatman	kalur
2413	middle office analyst	middle office'i töötaja
2529	chief ICT security officer	IKT-turvajuht
3114	electronics engineering technician	elektroonikatehnik
4323	rail logistics coordinator	raudteevedude korraldaja
3153	drone pilot	kaugpiloot
3359	marine cargo inspector	lastiinspektor
2330	history teacher secondary school	üldhariduskooli vanema astme ajalooõpetaja
2146	chemical metallurgist	metallurgiakeemik
8143	paper cutter operator	paberilõikemasina operaator
2659	puppeteer	nukunäitleja
2422	regional development policy officer	regionaalarengupoliitika spetsialist
2133	water quality analyst	veekvaliteedi analüütik
3240	alternative animal therapist	loomade alternatiivterapeut
7533	made-up textile articles manufacturer	tekstiilijäätmetest toodete valmistaja
8160	centrifuge operator	tsentrifuugioperaator
8159	braiding textile technician	punutud tekstiili valmistaja
4221	travel consultant	reisikonsultant
7543	automotive test driver	mootorsõiduki katsetaja
2112	aviation meteorologist	lennundusmeteoroloog
7532	leather goods CAD patternmaker	nahktoodete CAD-modelleerija
8131	soap chipper	seebilaastude valmistaja
1324	live animals distribution manager	elusloomade turustusjuht
3422	ice-skating coach	uisuinstruktor
2149	innovation engineer	innovatsiooniinsener
3323	purchaser	ostuagent
3343	executive assistant	tegevjuhi assistent
6121	shepherd	karjus
3123	rail construction supervisor	raudtee-ehitustööde juhataja
7115	carpenter	puusepp
8160	chilling operator	valmistoidu töötlemise operaator
3435	dresser	riietaja
8113	pipeline pump operator	torujuhtme pumbaoperaator
7222	casting mould maker	šabloonilukksepp
2142	construction engineer	konstrueerimisinsener
7233	textile machinery technician	tekstiiliseadmete mehaanik
7542	shotfirer	lõhkaja
3118	marine engineering drafter	laevaehitusjoonestaja
1324	fish, crustaceans and molluscs distribution manager	kala, vähilaadsete ja molluskite turustusjuht
7311	optical instrument repairer	optikaseadmete parandaja
1112	police commissioner	politseiülem
3412	child welfare worker	lastekaitsetöötaja
3324	commodity broker	kaubamaakler
1420	bakery shop manager	pagaritoodete kaupluse juhataja
8152	textile machine operator	tekstiilitootmismasinate operaator
5164	dog breeder	koerakasvataja
3123	sewer construction supervisor	torustikupaigaldustööde juhataja
3257	health and safety inspector	tervishoiu- ja ohutusinspektor
7543	footwear quality controller	jalatsite kvaliteedi kontrollija
4323	bridge operator	sillaoperaator
2330	classical languages teacher secondary school	üldhariduskooli vanema astme klassikaliste keelte õpetaja
1345	deputy head teacher	kooli asedirektor
5230	cashier	kassapidaja
3114	instrumentation engineering technician	seadmeehitustehnik
9623	meter reader	arvestikontrolör
8183	heat sealing machine operator	pitseerimismasina operaator
5249	rental service representative in personal and household goods	tarbeesemete ja kodumasinate renditeenuse müüja
2511	enterprise architect	ettevõttearhitekt
2141	clothing technologist	rõivatööstuse tehnoloog
5165	vessel steering instructor	laevajuhtimisinstruktor
1345	further education principal	täiendharidusasutuse juht
3141	botanical technician	botaanikatehnik
3353	social security inspector	sotsiaalkaitseinspektor
1349	commercial art gallery manager	erakunstigalerii juht
9332	carriage driver	loomveoki juht
8159	leather measuring operator	nahamõõtmismasina operaator
2619	contract manager	lepinguhaldur
8182	boiler operator	katlaoperaator
3435	audio production technician	helitehnik
1420	toys and games shop manager	mänguasjakaupluse juhataja
3122	machine operator supervisor	tööpingioperaatorite töödejuhataja
1213	sustainability manager	kestlikkusjuht
4214	insurance collector	kindlustusmaksete võlgnevuste sissenõudja
1221	commercial director	kaubandusjuht
5142	spa attendant	spaa administraator
2433	technical sales representative in agricultural machinery and equipment	põllumajandustehnika ja -seadmete tehnikamüügi esindaja
7213	coppersmith	vasksepp
5131	wine sommelier	veinisommeljee
7115	frame maker	pildi- ja peegliraami valmistaja
2230	acupuncturist	akupunkturist
3324	wholesale merchant in electronic and telecommunications equipment and parts	elektroonika- ja telekommunikatsiooniseadmete ning nende osade hulgikaupleja
2359	academic support officer	õppekorralduse spetsialist
5419	animal welfare inspector	loomade heaolu inspektor
8350	boatswain	pootsman
9216	aquaculture cage mooring worker	vesiviljeluse sumbatööline
3123	lift installation supervisor	liftipaigaldustööde juhataja
2269	biomedical scientist	bioanalüütik
5223	bakery specialised seller	pagaritoodete müüja
3123	construction scaffolding supervisor	ehituse tellingutööde juhataja
1420	sales account manager	kliendikonto haldur
8181	tunnel kiln operator	tunnelahju operaator
2514	mobile application developer	mobiilirakenduste arendaja
9121	wearing apparel presser	rõivaste triikija
3324	wholesale merchant in fish crustaceans and molluscs	kalade, vähilaadsete ja kalatoodete hulgikaupleja
7422	communication infrastructure maintainer	sidetaristu hooldustehnik
7323	book restorer	raamaturestauraator
