ID	en	et	zh	bp	ru	de	jp	it	es	uk	idn	ar	fr	sr
fb41	Big Five	Suur Viisik	大五人格	Big Five	Большая пятёрка	Die Big Five	ビッグファイブ	Big Five	Cinco Grandes	Велика п'ятірка	Kepribadian Lima Faktor (Big Five)	السمات الخمس الكبرى	Cinq grandes traits de la personnalité	Velikih pet
fb42	Your Big Five trait scores	Teie Suure Viisiku skoorid	您的大五人格特质评分	Seus escores nos traços do Big Five	Ваши результаты по чертам Большой пятерки	Ihre Big Five-Eigenschaftswerte	あなたのビッグファイブ性格特性スコア	I tuoi punteggi nei tratti Big Five	Tus puntuaciones en los Cinco Grandes rasgos	Ваші бали ""Великої п'ятірки"" рис особистості. Щоб зберегти результати, будь ласка, зробіть скріншоти.	Skor Kepribadian Lima Faktor (Big Five) Anda	نتائج السمات الخمس الكبرى الخاصة بك	Vos scores aux cinq grandes traits de la personnaliuté	Vaši skorovi na Velikih pet osobina ličnosti
fb43	These traits are usually used by scientists to describe differences among people. To save the results, please take screenshots.	Teadlased kasutavad tihti neid omadusi inimeste isiksusest ülevaate andmiseks. Tulemuste säilitamiseks salvestage ekraanitõmmised.	这些性格特质通常被科学家们用于描述个体之间的差异。若您想保存结果，请截屏。	Esses traços são geralmente usados por cientistas para descrever diferenças entre as pessoas. Para salvar os resultados, por favor, faça capturas das telas.	Эти черты обычно используются учеными для описания различий между людьми. Если хотите сохранить результаты, сделайте снимок экрана.	Diese Eigenschaften werden in der Regel von Wissenschaftlern verwendet, um Unterschiede zwischen Menschen zu beschreiben. Um die Ergebnisse zu speichern, machen Sie bitte Screenshots.	これらの特性は通常、科学者が人々の違いを説明するために使用します。結果はスクリーンショットで保存可能です。	Questi tratti sono solitamente utilizzati dagli scienziati per descrivere le differenze tra le persone. Per salvare i risultati, fai uno screenshot (cattura la schermata).	Estos rasgos son usados por científicos para describir diferencias entre personas. Para guardar los resultados, puedes hacer capturas de pantalla.	Науковці зазвичай використовують ці риси для того, щоб описати відмінності між людьми.	Karakteristik kepribadian ini umumnya digunakan ilmuwan untuk menjelaskan perbedaan masing-masing orang. Untuk menyimpan hasil, silahkan menangkap layar (Screenshot).	تُستخدم هذه السمات عادةً من قبل العلماء لوصف الاختلافات بين الأشخاص. لحفظ النتائج، يرجى التقاط لقطات شاشة.	Ces traits sont généralement utilisés par les scientifiques pour décrire les différences entre les personnes. Pour sauver les résultats, vous pouvez faire une capture d'écran.	Ove osobine obično koriste naučnici da opišu razlike između ljudi. Da biste sačuvali rezultate, molimo Vas da snimite ekran (napravite screen-shot).
fb51	Share	Jagage	一键分享	Compartilhar	Поделиться	Teilen	シェア	Condividi	Compartir	Поділитися	Bagikan	مشاركة	Partagez	Podeli
fb6	FAQ	KKK	常见问题	Perguntas Frequentes (FAQ)	Часто задаваемые вопросы	Häufig gestellte Fragen	FAQ	FAQ (domande frequenti)	Preguntas Frecuentes (FAQ)	Часті питання	Pertanyaan Umum (FAQ)	الأسئلة الشائعة	FAQ	Najčešće postavljena pitanja i odgovori (FAQ)
int7	This app is for people aged between 18 and 70.	See rakendus sobib kasutamiseks inimestele vanuses 18 kuni 70 aastat.	此应用适用于18至70岁的人群。	Este aplicativo é destinado a pessoas entre 18 e 70 anos.	Это приложение подходит для использования людьми в возрасте от 18 до 70 лет.	Dieser Fragebogen ist für Menschen zwischen 18 und 70 Jahren.	このアプリの対象年齢は18歳から70歳です。	Questa app è per persone di età compresa tra 18 e 70 anni.	Esta aplicación es para personas entre 18 y 70 años.	Цей застосунок призначений для осіб віком від 18 до 70 років.	Aplikasi ini hanya untuk orang berumur 18 hingga 70 tahun	هذا التطبيق مخصص للأشخاص الذين تتراوح أعمارهم بين 18 و70 عامًا.	Cette application est destinée aux personnes entre 18 et 70 ans	Ova aplikacija je namenjena ljudima starosti između 18 i 70 godina.
mod1	Please read the information sheet before exploring your results. To save the results, please take screenshots.	Enne tulemuste vaatamist lugege palun infolehte. Tulemuste säilitamiseks salvestage ekraanitõmmised.	请在查看结果之前阅读信息说明。若您想保存结果，请截屏。	Por favor, leia a folha de informações antes de explorar seus resultados. Para salvar os resultados, por favor, faça capturas das telas.	Пожалуйста, прочтите информационный лист перед тем, как изучать свои результаты. Чтобы сохранить результаты, сделайте, пожалуйста, снимки экрана.	Bitte lesen Sie die Informationen, bevor Sie Ihre Ergebnisse untersuchen. Um die Ergebnisse zu speichern, machen Sie bitte Screenshots.	結果をご覧になる前に、インフォメーションページをお読みください。結果はスクリーンショットで保存可能です。	Per favore, leggi il foglio informativo prima di esplorare i tuoi risultati. Per salvare i risultati, fai uno screenshot (cattura la schermata).	Por favor, lee la hoja informativa antes de explorar tus resultados. Para guardar los resultados, puedes hacer capturas de pantalla.	Будь ласка, прочитайте цей інформаційний листок, перш ніж перейти до своїх результатів. Щоб зберегти результати, будь ласка, зробіть скріншоти.	Mohon membaca halaman informasi sebelum mengeksplorasi hasil Anda. Untuk menyimpan hasil, harap menangkap layar (Screenshot).	يرجى قراءة ورقة المعلومات قبل استكشاف نتائجك. تُستخدم هذه السمات عادةً من قِبَل العلماء لوصف الاختلافات بين الأشخاص. لحفظ النتائج، يُرجى التقاط لقطات شاشة.	Veuillez lire la fiche d'information avant d'explorer vos résultats. Pour sauver les résultats, vous pouvez faire une capture d'écran.	Molimo Vas da pročitate informacije pre nego što pogledate svoje rezultate. Da biste sačuvali rezultate, molimo Vas da snimite ekran (napravite screen-shot).
mod2	Results	Tulemused	结果	Resultados	Результаты	Ergebnisse	結果	Risultati	Resultados	Результати	Hasil	النتائج	Résultats	Rezultati
fb35	You	Teie	您	Você	Вы	Sie	あなた	Tu	Tú	Ви	Anda	أنت	Vous	Vi
fb44	Low	Madal	低	Baixo	Низкий	Niedrig	低	Basso	Bajo	Низький	Rendah	منخفض	Faible	Nisko
fb45	Medium	Keskmine	中	Médio	Средний	Mittel	中	Medio	Medio	Середній	Sedang	متوسط	Moyen	Prosečno
fb46	High	Kõrge	高	Alto	Высокий	Hoch	高	Alto	Alto	Високий	Tinggi	مرتفع	Élevé	Visoko
fb52	To share the app with a close person, use this private link	Rakendust lähedase inimesega jagades kasutage seda privaatset linki	分享此链接给您亲近的人，请使用此私密链接	Para compartilhar o aplicativo com uma pessoa próxima, use este link privado	Чтобы поделиться приложением с близким человеком, используйте эту личную ссылку	Um den Fragebogen mit einer nahestehenden Person zu teilen, verwenden Sie diesen privaten Link	身近な人とアプリを共有する際は、こちらのプライベートリンクをご利用ください。	Per condividere l'app con un tuo conoscente, utilizza questo link privato	Para compartir la app con alguien cercano, usa este enlace privado	Щоб надіслати застосунок близькій особі, скористайтеся цим приватним посиланням	Untuk membagikan aplikasi ini dengan orang dekat, gunakan tautan pribadi ini	لمشاركة التطبيق مع شخص قريب، استخدم هذا الرابط الخاص	Pour partager l'application avec une connaissance proche, utilisez ce lien privé.	Da biste podelili aplikaciju sa bliskom osobom, koristite ovaj privatni link.
fb53	Copy private link	Kopeerige privaatne link	复制私密链接	Copiar link privado	Скопировать личную ссылку	Privaten Link kopieren	プライベートリンクをコピー	Copia link privato	Copiar enlace privado	Копіювати приватне посилання	Salin tautan pribadi	نسخ الرابط الخاص	Copier ce lien privé	Kopirajte privatni link
