page	en	et	ru	zh	bp	de	jp	it	es	ar	uk	idn	fr
1	Often feel tired	Olen tihti väsinud	Я часто чувствую усталость	我经常感到疲惫	Frequentemente me sinto cansado	Sich oft müde fühlen	よく疲れを感じる	Spesso mi sento stanco	A menudo me siento cansado/a.	غالبًا أشعر بالتعب.	Часто почуваюся втомленим (втомленою)	Saya sering merasa lelah	Me sens souvent fatigué·e
1	Have a natural talent for influencing people	Suudan kergesti inimesi mõjutada	У меня врождённый талант оказывать на других влияние	我具有影响别人的天赋	Tenho um talento natural para influenciar pessoas	Ein natürliches Talent haben, Menschen zu beeinflussen	人々に影響を与える天性の才能を持っている	Ho un talento naturale per influenzare le persone	Tengo un talento natural para influir en los demás.	لدي موهبة طبيعية في التأثير على الناس.	Маю природний хист до впливу на людей	Saya mudah memengaruhi orang lain	J'ai un talent naturel pour influencer les personnes
1	Love to help others	Mulle meeldib väga teisi aidata	Я люблю помогать другим людям	我乐于助人	Adoro ajudar os outros	Es lieben anderen zu helfen	他人を助けるのが大好き	Amo aiutare gli altri	Me encanta ayudar a los demás.	أحب مساعدة الآخرين.	Люблю допомагати іншим	Saya senang membantu orang lain	Aime aider les autres
1	See myself as an average person	Pean ennast tavaliseks inimeseks	Я считаю себя обычным человеком	我认为自己是个普通人	Eu me considero uma pessoa na média	Sich selbst als durchschnittlichen Menschen sehen	自分はごく普通の人間だと思う	Mi vedo come una persona comune	Me considero una persona normal.	أرى نفسي كشخص عادي.	Вважаю себе звичайною людиною	Saya menilai diri sebagai orang biasa	Me considère comme une personne ordinaire
1	Spend a lot of time thinking about past mistakes	Kulutan palju aega mõeldes tehtud vigadele	Я часто размышляю об ошибках прошлого	花费很多时间思考过去的错误	Passo muito tempo pensando sobre erros do passado	Viel Zeit damit verbringen über vergangene Fehler nachzudenken	過去の過ちについて考えることに多くの時間を費やす	Trascorro molto tempo pensando agli errori passati	Paso mucho tiempo pensando en errores del pasado.	أقضي الكثير من الوقت في التفكير في أخطاء الماضي.	Проводжу багато часу, думаючи про помилки, зроблені в минулому	Saya banyak menghabiskan waktu memikirkan kesalahan masa lalu	Passe beaucoup de temps à penser aux erreurs passées
2	Adapt easily to new situations	Kohanen kiiresti uute olukordadega	Я легко приспосабливаюсь к новым ситуациям	我可以轻松适应新状况	Adapto-me facilmente a novas situações	Sich leicht an neue Situationen anpassen	新しい状況に適応しやすい	Mi adatto facilmente alle nuove situazioni	Me adapto fácilmente a nuevas situaciones.	أتأقلم بسهولة مع المواقف الجديدة.	Легко пристосовуюсь до нових ситуацій	Saya mudah beradaptasi pada suasana baru	M'adapte facilement à de novuelles situations
2	Blame others when something goes wrong	Süüdistan teisi, kui midagi valesti läheb	Я виню других людей, если что-то идёт не так	有问题时，我会指责别人	Culpo os outros quando algo sai errado	Anderen die Schuld geben, wenn etwas schief läuft	何かがうまくいかない時に、他人のせいにする	Incolpo gli altri quando qualcosa va storto	Culpo a otros cuando algo sale mal.	ألوم الآخرين عندما يحدث خطأ ما.	Звинувачую інших, коли щось іде не так	Saya menyalahkan orang lain apabila sesuatu berjalan tidak semestinya	Blâme les autres lorsque quelque chose tourne mal
2	Try to avoid speaking in public	Väldin inimeste ees sõna võtmist	Я стараюсь избегать публичных выступлений	我避免在公众面前说话	Evito falar em público	Es vermeiden in der Öffentlichkeit zu sprechen	公の場で話すのを避けようとする	Cerco di evitare di parlare in pubblico	Intento evitar hablar en público.	أحاول تجنب التكلّم في العلن.	Намагаюся уникати публічних виступів	Saya menghindari berbicara di depan umum	Essaie d'éviter de parler en public
2	Often feel that others misunderstand me	Tunnen tihti, et teised ei mõista mind	Я часто чувствую, что люди не понимают меня	我经常感觉别人不理解我	Eu geralmente sinto que sou mal compreendido pelos outros	Das Gefühl haben, dass andere einen missverstehen	他人に誤解されていると感じることが多い	Spesso ho la sensazione che gli altri mi fraintendano	A menudo siento que los demás no me entienden.	غالبًا أشعر أن الآخرين يسيئون فهمي.	Часто відчуваю, що інші мене неправильно розуміють	Saya merasa orang lain tidak memahami saya	Avoir souvent l'impression que les autres me comprennent mal
2	Am always prepared	Olen alati ettevalmistunud	Я всегда хорошо подготовлен	我总是做好准备	Eu sempre estou preparado	Immer vorbereitet sein	いつも準備万端である	Sono sempre preparato	Siempre estoy preparado/a.	أنا دائما على استعداد.	Завжди підготовлений (підготовлена)	Saya termasuk orang yang selalu siap	Suis toujours préparé·e
2	Make enemies	Tekitan endale vaenlasi	Я наживаю врагов	我会树敌	Eu faço inimigos	Sich Feinde machen	敵を作る	Mi faccio dei nemici	Hago enemigos.	أصنع الأعداء.	Наживаю собі ворогів	Saya termasuk orang yang suka menambah musuh	Me fais des ennemis
2	Believe that I am better than others	Usun, et olen teistest parem	Я верю, что я лучше других	我认为我比别人强	Acredito que sou melhor que os outros(as)	Daran glauben besser als andere zu sein	自分は他人より優れていると思う	Credo di essere migliore degli altri	Creo que soy mejor que los demás.	أعتقد أنني أفضل من الآخرين.	Вважаю себе  кращим (кращою) за інших	Saya merasa lebih baik dibanding orang lain	Crois que je suis meilleur·e que les autres
2	Am easily distracted	Mu tähelepanu on lihtne kõrvale juhtida	Я легко отвлекаюсь	我很容易分心	Distraio-me facilmente	Leicht ablenkbar sein	気が散りやすい	Mi distraggo facilmente	Me distraigo fácilmente.	أتشتت بسهولة.	Легко відволікаюсь	Saya mudah terdistraksi	Suis facilement distrait·e
2	Have a low opinion of myself	Mul on madal enesehinnang	Я низкого мнения о себе	我有一个低的自我评价	Não tenho muita consideração por mim mesmo	Eine schlechte Meinung von mir selbst haben	自分を低く評価する	Ho una bassa opinione di me stesso	Tengo una opinión baja de mí mismo/a.	لدي رأي متدنٍ عن نفسي.	Низької думки про себе	Saya memiliki pendapat yang rendah pada diri sendiri	J'ai une mauvaise opinion de moi-même
2	Need a creative outlet	Pean saama end loominguliselt väljendada	У меня есть потребность творчески выражать себя	我需要一个表达创意的出口	Necessito me expressar criativamente	Ein kreatives Ventil brauchen	創造性を表現する場が必要だ	Ho bisogno di uno sbocco creativo	Necesito una salida creativa.	أحتاج إلى منفذ إبداعي.	Потребую творчої віддушини	Saya memerlukan ajang untuk berkreatif	Besoin d'un espace de créativité
2	Having good friends is important for me	Mulle on tähtis, et mul oleks häid sõpru	Для меня важно иметь хороших друзей	拥有好朋友对我很重要	Ter bons amigos é importante para mim	Gute Freunde zu haben ist wichtig für mich	良い友達を持つことは私にとって重要だ	Per me è importante avere buoni amici	Tener buenos amigos es importante para mí.	وجود أصدقاء صالحين مهم بالنسبة لي.	Для мене важливо мати добрих друзів	Memiliki teman dekat penting bagi saya	Avoir de bon·nes ami·es est important pour moi
2	Like to solve complex problems	Mulle meeldib keerulisi probleeme lahendada	Мне нравится решать сложные проблемы	我喜欢解决复杂问题	Gosto de resolver problemas complexos	Gerne komplexe Probleme lösen	複雑な問題を解くのが好き	Mi piace risolvere problemi complessi	Me gusta resolver problemas complejos.	أحب حل المشاكل المعقدة.	Люблю розв'язувати складні задачі	Saya senang menyelesaikan permasalahan yang rumit	Aime résoudre les problèmes complexes
2	Am quick to judge others	Olen kiire teiste kohta hinnangut andma	Я быстро осуждаю других людей	我会很快评判别人	Costumo julgar os outros rapidamente	Schnell darin sein, andere zu verurteilen	他人をすぐに判断する	Sono veloce nel giudicare gli altri	Juzgo rápidamente a los demás.	أنا سريع في الحكم على الآخرين.	Легко осуджую інших	Saya cepat dalam menilai orang lain	Me fais rapidement une opinon d'autrui
2	Have a vivid imagination	Mul on elav kujutlusvõime	У меня яркое воображение	我的想象力很丰富	Possuo uma imaginação vívida	Eine lebhafte Vorstellungskraft haben	想像力が豊かだ	Ho una vivida immaginazione	Tengo una imaginación vívida.	لدي خيال حي.	Маю багату уяву	Saya memiliki imaginasi yang jelas	J'ai une imagination très développée
2	Tend to feel very hopeless	Tunnen tihti, et olukord on täiesti lootusetu	Я часто чувствую себя очень безнадёжно	我往往感到非常绝望	Em geral me sinto muito desesperançoso(a)	Dazu neigen sich sehr hoffnungslos zu fühlen	非常に絶望的な気分になりがちだ	Tendo a sentirmi senza speranza	Suelo sentirme muy desesperanzado/a.	أميل إلى الشعور بفقدان الأمل الشديد.	Схильний (схильна) відчувати сильну безнадію	Saya umumnya merasa tidak punya harapan	Tends à me sentir désespéré·e
3	Believe in the importance of art	Pean kunsti oluliseks	Я верю в важность искусства	我认为艺术很重要	Acredito na importância da arte	An die Wichtigkeit von Kunst glauben	芸術が重要だと考えている	Credo nell'importanza dell'arte	Creo en la importancia del arte.	أؤمن بأهمية الفن.	Вірю у важливу роль мистецтва	Saya percaya akan pentingnya seni	Crois en l'importance de l'art
3	Worry about what people think of me	Muretsen, mida teised minust mõtlevad	Меня беспокоит, что люди обо мне думают	我担心别人对我的看法	Preocupo-me com o que outras pessoas pensam de mim	Darüber sorgen, was andere Leute über mich denken	人からどう思われるかを気にする	Mi preoccupo di ciò che la gente pensa di me	Me preocupa lo que los demás piensen de mí.	أقلق بشأن ما يعتقده الناس عني.	Тривожусь через те, що люди думають про мене	Saya khawatir mengenai apa yang orang lain pikirkan terhadap saya	Me fais du soucis concernant ce que les autres pensent de moi
3	Try to provoke others just to get a response	Provotseerin teisi lihtsalt selleks, et näha nende reaktsiooni	Я провоцирую других, просто чтобы получить реакцию	我试著挑衅他人只是为了得到回应	Provoco os outros apenas para ter uma resposta	Andere provozieren, um eine Antwort zu erhalten	反応を得るために、他人を挑発しようとする	Provo a provocare gli altri solo per ottenere una reazione	Trato de provocar a otros solo para obtener una reacción.	أحاول استفزاز الآخرين فقط للحصول على رد.	Намагаюся спровокувати інших лише заради того, щоб одержати від них реакцію	Saya mencoba memprovokasi orang lain hanya untuk mendapat respons	Essaie de provoquer les autres juste pour avoir une réponse
3	Love to look my best	Mulle meeldib võimalikult hea välja näha	Я обожаю отлично выглядеть	我喜欢看起来是我的最佳状态	Adoro estar no meu melhor momento	Es lieben, mein Bestes zu geben	自分をベストに見せるのが好き	Amo apparire al meglio	Me encanta verme lo mejor posible.	أحب أن أبدو في أفضل حالاتي.	Люблю виглядати якнайкраще	Saya senang tampil bagus	Aime soigner mon apparence
3	Am always on time	Ma ei jää kunagi hiljaks	Я всегда вовремя	我永远准时	Sou sempre pontual	Immer pünktlich sein	いつも時間を守る	Sono sempre puntuale	Siempre llego a tiempo.	أنا دائما على الوقت المحدد.	Завжди усе роблю вчасно	Saya adalah orang yang tepat waktu	Suis toujours à l'heure
3	Often forget things	Unustan tihti asju ära	Я забывчивый / забывчивая	我经常忘记事情	Geralmente esqueço as coisas	Oft Dinge vergessen	物事をよく忘れる	Spesso dimentico le cose	A menudo se me olvidan las cosas.	غالبًا أنسى الأشياء.	Часто забуваю про різні речі	Saya umumnya pelupa	Oublie souvent les choses
3	Start tasks right away	Hakkan kohe pihta, kui on vaja midagi ära teha	Я сразу приступаю к работе	我会立刻开始我该做的任务	Começo tarefas imediatamente	Sofort mit Aufgaben starten	すぐにタスクに取り掛かる	Inizio subito le cose da fare	Empiezo las tareas en seguida.	أبدأ بمهامي على الفور.	Одразу починаю виконувати завдання	Saya langsung mengerjakan suatu hal	Commence tout de suite les tâches
3	My feelings are easily hurt	Minu tundeid on lihtne haavata	Мои чувства легко задеть	我的感情容易受伤	Eu me magoo com facilidade	Meine Gefühle werden leicht verletzt	気持ちが傷つきやすい	I miei sentimenti sono feriti facilmente	Mis sentimientos se hieren fácilmente.	مشاعري تتأذى بسهولة.	Мене легко образити	Perasaan saya mudah tersakiti	Suis facilement blessé·e dans mes sentiments
3	Am considered to be kind of eccentric	Mind peetakse isemoodi inimeseks	Другие считают меня эксцентричной личностью	我被认为有点古怪	Sou considerado uma pessoa excêntrica	Als etwas exzentrisch gelten	少し変わった人だと思われる	Sono considerato un po' eccentrico	Me consideran un poco excéntrico/a.	أنا أُعتبر نوعًا ما غريب الأطوار.	Мене вважають дещо ексцентричним (ексцентричною)	Saya dianggap agak eksentrik	Suis considéré·e comme un peu excentrique
3	Talk a lot	Räägin palju	Я много говорю	我通常说很多话	Eu falo muito	Viel reden	よくしゃべる	Parlo molto	Hablo mucho.	أتحدث كثيرا.	Багато розмовляю	Saya banyak berbicara	Parle beaucoup
3	Like most people	Enamik inimesi meeldivad mulle	Мне нравится большинство людей	我喜欢大部分的人	Gosto da maioria das pessoas	Ich mag die meisten Menschen/Leute	ほとんどの人のことが好き	Mi piace la maggior parte delle persone	Me agradan la mayoría de las personas.	أحب معظم الناس.	Більшість людей мені подобається	Saya umumnya menyukai banyak orang	Aime la plupart des personnes
3	Rarely complain	Kurdan harva millegi üle	Я редко жалуюсь	我很少抱怨	Dificilmente reclamo	Sich selten beschweren	めったに文句を言わない	Mi lamento raramente	Rara vez me quejo.	نادرا أشكو.	Рідко скаржуся	Saya tidak suka mengeluh	Me plains rarement
3	Have a sharp tongue	Olen terava keelega	У меня острый язык	我被认为言辞犀利	Tenho uma língua afiada	Eine scharfe Zunge haben	口が悪い	Non ho peli sulla lingua	Tengo la lengua afilada.	لدي لسان حاد.	Гострий (гостра) на язик	Saya memiliki lidah yang tajam	Ai une langue bien pendue
3	Avoid responsibilities	Väldin kohustusi	Я избегаю ответственности	我避免承担责任	Evito responsabilidades	Verantwortlichkeiten vermeiden	責任を避ける	Evito le responsabilità	Evito asumir responsabilidades.	أتجنب المسؤوليات.	Уникаю відповідальності	Saya menghindari tanggung jawab	Evite les responsabilités
3	Like to read	Mulle meeldib lugeda	Я люблю читать	我喜欢阅读	Gosto de ler	Gerne lesen	読書が好き	Mi piace leggere	Me gusta leer.	أحب القراءة.	Люблю читати	Saya suka membaca	Aime lire
4	Am open about my feelings	Näitan oma tundeid välja	Я открыто выражаю свои чувства	我愿意表达自己的感受	Sou aberto quanto a meus sentimentos	Offen mit meinen Gefühlen umgehen	自分の気持ちをオープンに表現する	Sono aperto riguardo ai miei sentimenti	Soy abierto/a con mis sentimientos.	أنا منفتح بشأن مشاعري.	Відкрито демонструю свої почуття	Saya terbuka dengan perasaan diri	Parle ouvertement de mes sentiments
4	Support liberal political candidates	Toetan liberaalset maailmavaadet	Я поддерживаю прогрессивных политиков	我更看重变化而不是传统	Apoio candidatos(as) políticos liberais	Unterstützung progressiver politischer Kandidierender	リベラル派の政治家を支持する	Sostengo i candidati politici liberali	Apoyo a candidatos políticos progresistas.	أؤيد المرشحين السياسيين الليبراليين.	Підтримую кандидатів від ліберальних політичних партій	Saya mendukung kandidat politik liberal	Soutiens les candidat·es politiques de l'aile libérale
4	Don’t quit a task before it is finished	Ma ei jäta töid pooleli	Я не перестаю работать, пока не закончу начатое	我不会在完成一件事前放弃	Eu não desisto de uma tarefa antes de acabá-la	Eine Aufgabe nicht abbrechen, bevor sie fertig ist	仕事を終わらせるまで諦めない	Non abbandono un compito prima che sia terminato	No abandono una tarea hasta que la termino.	لا أنسحب من مهمة قبل أن تنتهي.	Не кидаю завдання, доки не виконаю його до кінця	Saya tidak menyerah sebelum tugas selesai	N'abandonne pas une tâche avant qu'elle ne soit terminée
4	Get back at people who insult me	Maksan kätte, kui keegi mind solvab	Я мщу людям, которые меня оскорбляют	我会报复曾经侮辱我的人	Costumo me vingar de pessoas eu me insultam	Sich an Leuten rächen, die mich beleidigt haben	自分を侮辱した人に仕返しをする	Mi vendico delle persone che mi insultano	Les hago pagar a las personas que me insultan.	أنتقم من الأشخاص الذين يهينونني.	Мщуся людям, які мене образили	Saya menyerang balik orang lain yang menghina saya	Me venge des personnes qui m'insultent
4	Am interested in science	Mind huvitab teadus	Меня интересует наука	我对科学感兴趣	Tenho interesse pela ciência	Sich für Wissenschaft interessieren	科学に興味がある	Sono interessato alla scienza	Me interesa la ciencia.	أنا مهتم بالعلوم.	Цікавлюся наукою	Saya menyukai ilmu pengetahuan	Suis intéressé·e par les sciences
4	Break my promises	Murran oma lubadusi	Я нарушаю обещания	我打破承诺	Eu quebro minhas promessas	Meine Versprechen brechen	約束を破る	Infrango le promesse	Rompo mis promesas.	أكسر وعودي.	Не дотримую свого слова	Saya tidak menepati janji	Ne tiens pas mes promesses
4	Enjoy social gatherings	Mulle meeldivad seltskondlikud üritused	Мне нравятся социальные встречи	我享受社交聚会	Aprecio encontros sociais	Gesellige Zusammenkünfte genießen	社交的な集まりを楽しむ	Mi piacciono gli incontri sociali	Disfruto de las reuniones sociales.	أستمتع بالتجمعات الاجتماعية.	Люблю відвідувати суспільні заходи	Saya menyukai perkumpulan sosial	Apprécie les évenements sociaux
4	Insist on getting my way	Käin peale, et oma tahtmist saada	Я настаиваю на том, чтобы всё было так, как я хочу	我坚持别人按我的方式做事	Insisto em fazer as coisas do meu jeito	Darauf bestehen meinen Willen durchzusetzen	自分のやり方を押し通す	Insisto nel voler fare a modo mio	Insisto en salirme con la mía.	أصر على الحصول على ما أريده.	Наполягаю на тому, щоб усе було по-моєму	Saya bersikeras untuk mendapatkan hal yang saya inginkan	Insiste pour obtenir ce que je veux
4	Can’t stand weak people	Ma ei salli nõrku inimesi	Я не выношу слабых людей	我不能忍受性格软弱的人	Não suporto pessoas fracas	Schwache Menschen nicht ausstehen können	気が弱い人に我慢できない	Non sopporto le persone deboli	No soporto a las personas débiles.	لا أستطيع تحمل الضعفاء.	Не можу терпіти слабких людей	Saya tidak tahan dengan orang yang lemah	Ne supporte pas les personnes faibles
4	Believe that we should be tough on crime	Arvan, et peame kurjategijaid karmilt karistama	Я считаю, что с преступностью нужно жёстко бороться	我相信我们应该强硬地对待犯罪活动	Acredito que devemos ser severos com os crimes	Daran glauben bei Verbrechen hart durchgreifen zu müssen	犯罪には厳しく対処すべきだと思う	Credo che dovremmo essere duri con la criminalità	Creo que deberíamos ser estrictos con el crimen.	أعتقد أننا يجب أن نكون صارمين في معقابة الجرائم.	Вважаю, що ми повинні бути безкомпромісними до злочинності	Saya percaya bahwa tindakan kriminal harus dihadapi dengan tegas	Pense que l'on devrait être sévère envers la criminalité
4	Find that nothing excites me	Miski ei tekita minus elevust	Ничто не вызывает у меня восторга	我找不到能让我兴奋的事	Acho que nada me diverte	Finden, dass mich nichts begeistert	何に対しても興奮しない	Trovo che nulla mi ecciti	Siento que nada me entusiasma.	أجد أن لا شيء يحمسني.	Знаходжу, що ніщо мене не захоплює	Tidak ada yang membuat saya bersemangat	Trouve que rien ne me passionne
4	Like to visit new places	Mulle meeldib uusi kohti külastada	Мне нравится посещать новые места	我喜欢去新的地方	Gosto de visitar lugares novos	Gefallen daran finden, neue Orte zu entdecken	新しい場所を訪れるのが好き	Mi piace visitare posti nuovi	Me gusta visitar lugares nuevos.	أحب زيارة الأماكن الجديدة.	Люблю відвідувати нові місця	Saya suka berkunjung ke tempat baru	Aime visiter de nouveaux lieux
4	Avoid philosophical discussions	Väldin filosoofilisi arutelusid	Я избегаю философских дискуссий	我避免关于哲学的讨论	Evito discussões filosóficas	Philosophische Diskussionen vermeiden	哲学的な議論を避ける	Evito discussioni filosofiche	Evito discusiones filosóficas.	أتجنب المناقشات الفلسفية.	Уникаю філософських дискусій	Saya menghindari diskusi filosofis	Evite les discussions philosophiques
4	Am likely to show off if I get the chance	Võimaluse korral kipun kiitlema	Если мне выпадает возможность, я склоняюсь хвастаться	我很容易趁机炫耀	Gosto de me exibir quando posso	Angeben, wenn ich die Gelegenheit dazu bekomme	機会があれば、自慢したがる傾向がある	E' probabile che mi metto in mostra se ne ho la possibilità	Me gusta presumir si tengo la oportunidad.	من المرجح أن أتباهى إذا سنحت لي الفرصة.	Схильний (схильна) хизуватися, коли маю таку можливість	Saya umumnya memamerkan sesuatu jika ada kesempatan	Ai tendance à me vanter si j'en ai l'occasion
4	Become anxious in new situations	Uued olukorrad tekitavad minus ärevust	Я чувствую тревожность в незнакомых ситуациях	我在新情况下变得焦虑	Fico ansioso(a) em situações novas	Ängstlich in neuen Situationen werden	新しい状況で不安になる	Divento ansioso in nuove situazioni	Me pongo nervioso/a en situaciones nuevas.	أشعر بالقلق في المواقف الجديدة.	Відчуваю тривожність у нових ситуаціях	Saya menjadi khawatir pada suasana baru	Deviens nerveux·euse dans les situations nouvelles
5	Would like for other people to be afraid of me	Tahan, et mind kardetaks	Я бы хотел, чтобы меня боялись	我喜欢让别人都怕我	Eu gostaria que os outros tivessem medo de mim	Sich wünschen, dass andere Menschen Angst vor mir haben	他の人々から恐れられたい	Vorrei che gli altri avessero paura di me	Me gustaría que los demás me tuvieran miedo.	أود أن يخاف الآخرون مني.	Хотів (хотіла) б, щоб інші люди мене боялись	Saya ingin orang lain takut akan saya	Aimerais que les autres aient peur de moi
5	Can’t make up my mind	Mul on raske otsustada	Мне трудно принять решение	我拿不定主意	Tenho dificuldade em me decidir	Sich nicht entscheiden können	決断できない	Non riesco a decidermi	No soy capaz de dedidirme	لا أستطيع أن أتخذ قرار.	Мені складно визначитися	Saya tidak bisa mengambil keputusan	N'arrive pas à me décider
5	Cry easily	Hakkan kergesti nutma	Я легко начинаю плакать	我容易哭	Choro facilmente	Leicht weinen	すぐに泣く	Piango facilmente	Lloro fácilmente.	أبكي بسهولة.	Можу з легкістю заплакати	Saya mudah menangis	Pleure facilement
5	Can’t be bothered with others needs	Ma ei hooli teiste vajadustest	Меня не волнуют потребности других людей	我不在意他人的需求	Não me importo com as necessidades dos outros	Sich nicht um die Bedürfnisse anderer Menschen kümmern	他人のニーズに煩わされない	Non ho tempo da perdere con i bisogni degli altri	No me preocupo por las necesidades de los demás.	لا أزعج نفسي بإحتياجات الآخرين	Мені байдуже до потреб інших	Saya tidak peduli akan kebutuhan orang lain	Ne me préoccupe pas des besoins des autres
5	Am considered to be a wise person	Mind peetakse elutargaks inimeseks	Меня считают мудрым человеком	我被认为是一个智慧的人	Sou considerado uma pessoa inteligente	Als weiser Mensch angesehen werden	賢い人だと思われている	Sono considerato una persona saggia	Me consideran una persona sabia.	أُعتبر شخص حكيم.	Мене вважають мудрою людиною	Saya dianggap sebagai orang yang bijak	Suis considéré·e comme une personne sage
5	Want every detail taken care of	Tahan, et iga detaili eest saaks hoolt kantud	Я вникаю во все детали	我希望每个细节都得到照顾	Quero que cada detalhe seja considerado	Wollen, dass sich um jedes Detail gekümmert wird	細かいところまで気を配りたい	Voglio che ogni dettaglio sia curato	Quiero que cada detalle esté cuidado.	أريد أن يتم الاهتمام بكل تفصيل.	Уважний (уважна) до деталей	Saya ingin setiap detail diperhatikan	Veux que chaque détail soit pris en compte
5	Am not embarrassed easily	Tunnen harva piinlikkust	Меня тяжело смутить	我不容易尴尬	Não fico envergonhado com facilidade	Nicht leicht in Verlegenheit gebracht werden	簡単には恥ずかしがらない	Non mi imbarazzo facilmente	No me avergüenzo con facilidad.	لا أشعر بالحرج بسهولة.	Мене нелегко збентежити	Saya tidak mudah merasa malu	Ne suis pas facilement embarrassé·e
5	Am usually active and full of energy	Olen tavaliselt aktiivne ja energiast pakatav	Я обычно активен / активна и полон / полна энергии	我通常很活跃并充满活力	Geralmente sou ativo e cheio de energia	In der Regel aktiv und voller Energie sein	普段は活発でエネルギーに満ちている	Di solito sono attivo e pieno di energia	Normalmente estoy activo/a y lleno/a de energía.	أنا عادة نشط ومليء بالطاقة.	Зазвичай є активним (активною) і сповненим (сповненою) енергією	Umumnya saya orang yang aktif dan energik	Suis habituellement actif·ve et plein·e d'énergie
5	Am afraid of being left alone	Kardan, et mind jäetakse üksi	Я боюсь остаться в одиночестве	我害怕独处	Tenho medo de ser deixado sozinho	Angst, alleine gelassen zu werden	一人にされるのが怖い	Ho paura di essere lasciato solo	Tengo miedo de quedarme solo/a.	أخاف من أن أُترك وحدي.	Боюся залишитися на самоті	Saya takut ditinggal sendiri	J'ai peur d'être abandonné·e
